"survey_date","lake_name","ats_year","count_trawl","count_acoustic"
"1986-10-09","Kennedy Lake (Main)",1986,204,150
"1986-10-10","Kennedy Lake (Clay)",1986,126,NA
"1986-10-11","Kennedy Lake (Clay)",1986,2,NA
"1986-10-27","Muriel Lake",1986,4,80
"1986-10-28","Muriel Lake",1986,26,NA
"1986-10-30","Sproat Lake",1986,86,121
"1986-10-31","Sproat Lake",1986,17,NA
"1986-11-06","Muchalat Lake",1986,25,45
"1986-11-07","Quatse Lake",1986,81,25
"1986-11-08","Long Lake",1986,315,NA
"1986-11-09","Long Lake",1986,366,NA
"1986-11-19","Kennedy Lake (Clay)",1986,1,160
"1986-11-20","Kennedy Lake (Clay)",1986,66,160
"1986-11-20","Kennedy Lake (Main)",1986,99,150
"1986-11-21","Kennedy Lake (Main)",1986,16,150
"1986-12-02","Henderson Lake",1986,127,180
"1986-12-15","Hobiton Lake",1986,8,99
"1986-12-16","Cheewhat Lake",1986,260,30
"1986-12-16","Hobiton Lake",1986,22,NA
"1987-02-23","Sproat Lake",1986,4,121
"1987-02-24","Sproat Lake",1986,7,NA
"1987-02-25","Kennedy Lake (Main)",1986,555,NA
"1987-02-26","Kennedy Lake (Clay)",1986,40,160
"1987-02-26","Kennedy Lake (Main)",1986,1,150
"1987-03-11","Muriel Lake",1986,14,NA
"1987-03-12","Muriel Lake",1986,17,NA
"1987-03-28","Muriel Lake",1986,10,NA
"1987-03-31","Muriel Lake",1986,9,NA
"1987-04-21","Cheewhat Lake",1987,3,30
"1987-04-21","Hobiton Lake",1987,103,NA
"1987-04-21","Sproat Lake",1987,1,NA
"1987-04-22","Kennedy Lake (Clay)",1987,73,160
"1987-04-23","Kennedy Lake (Clay)",1987,253,NA
"1987-04-23","Kennedy Lake (Main)",1987,364,150
"1987-04-24","Kennedy Lake (Main)",1987,36,150
"1987-04-24","Muriel Lake",1987,7,80
"1987-04-25","Muriel Lake",1987,16,NA
"1987-04-28","Cheewhat Lake",1987,20,NA
"1987-04-28","Kennedy Lake (Clay)",1987,57,NA
"1987-05-13","Hobiton Lake",1987,19,NA
"1987-06-11","Cheewhat Lake",1987,4,30
"1987-06-11","Hobiton Lake",1987,12,NA
"1987-06-12","Cheewhat Lake",1987,10,NA
"1987-06-18","Hobiton Lake",1987,5,99
"1987-06-19","Hobiton Lake",1987,80,NA
"1987-06-19","Kennedy Lake (Clay)",1987,166,160
"1987-06-20","Kennedy Lake (Clay)",1987,46,NA
"1987-06-27","Muriel Lake",1987,5,80
"1987-06-28","Muriel Lake",1987,9,NA
"1987-06-29","Hobiton Lake",1987,10,99
"1987-06-30","Hobiton Lake",1987,1,NA
"1987-07-09","Henderson Lake",1987,5,NA
"1987-07-10","Henderson Lake",1987,55,180
"1987-07-10","Nahmint Lake",1987,32,45
"1987-07-11","Hobiton Lake",1987,11,99
"1987-07-11","Nahmint Lake",1987,26,NA
"1987-07-13","Muchalat Lake",1987,240,45
"1987-07-15","Vernon Lake",1987,22,NA
"1987-07-16","Woss Lake",1987,66,NA
"1987-07-18","Long Lake",1987,332,NA
"1987-07-19","Long Lake",1987,162,NA
"1987-07-19","Nimpkish Lake",1987,2,NA
"1987-07-20","Nimpkish Lake",1987,30,NA
"1987-07-20","Quatse Lake",1987,1,25
"1987-07-21","Nahwitti Lake",1987,179,40
"1987-07-21","Quatse Lake",1987,17,NA
"1987-07-22","Nahwitti Lake",1987,83,NA
"1987-07-23","Hobiton Lake",1987,2,99
"1987-07-24","Hobiton Lake",1987,8,NA
"1987-07-30","Devon Lake",1987,429,70
"1987-07-31","Devon Lake",1987,302,NA
"1987-08-01","Yakoun Lake",1987,355,NA
"1987-08-02","Yakoun Lake",1987,387,NA
"1987-08-03","Skidegate Lake",1987,15,NA
"1987-08-06","Owikeno Lake",1987,640,NA
"1987-08-07","Owikeno Lake",1987,936,NA
"1987-08-08","Owikeno Lake",1987,112,NA
"1987-08-09","Phillips Lake",1987,9,72
"1987-08-10","Nimpkish Lake",1987,12,88
"1987-08-10","Phillips Lake",1987,56,NA
"1987-08-11","Nimpkish Lake",1987,33,NA
"1987-08-12","Nimpkish Lake",1987,4,NA
"1987-08-13","Hobiton Lake",1987,1,99
"1987-08-14","Hobiton Lake",1987,7,NA
"1987-08-15","Cheewhat Lake",1987,247,30
"1987-08-15","Hobiton Lake",1987,23,NA
"1987-08-16","Cheewhat Lake",1987,80,NA
"1987-08-16","Kennedy Lake (Clay)",1987,136,160
"1987-08-17","Kennedy Lake (Clay)",1987,158,NA
"1987-08-17","Muriel Lake",1987,6,80
"1987-08-18","Muriel Lake",1987,16,NA
"1987-09-01","Sproat Lake",1987,16,121
"1987-09-02","Sproat Lake",1987,54,NA
"1987-09-03","Sproat Lake",1987,3,NA
"1987-09-08","Heydon Lake",1987,14,NA
"1987-09-08","Long Lake",1987,174,NA
"1987-09-09","Long Lake",1987,645,NA
"1987-09-10","Long Lake",1987,34,NA
"1987-09-11","Nimpkish Lake",1987,241,NA
"1987-09-12","Nimpkish Lake",1987,83,88
"1987-09-13","Nimpkish Lake",1987,7,NA
"1987-09-15","Henderson Lake",1987,17,NA
"1987-09-16","Henderson Lake",1987,258,180
"1987-09-17","Henderson Lake",1987,131,NA
"1987-09-18","Nahmint Lake",1987,4,45
"1987-09-23","Great Central Lake",1987,26,78
"1987-09-24","Great Central Lake",1987,4,NA
"1987-09-26","Hobiton Lake",1987,6,NA
"1987-09-26","Nahmint Lake",1987,9,45
"1987-09-27","Hobiton Lake",1987,4,NA
